"service_id","date","exception_type"
"20210904_f5i","20210907","1"
"20210904_f5i_165","20210907","1"
"20210904_f5i_171-176_cimiteri_no_lun","20210907","1"
"20210904_f5i_ns_230-431-566","20210907","1"
"20210904_f5i_rinforzi_subaffido","20210907","1"
"20210904_Ma_i_566","20210907","1"
"20210904_Ma_i_77-701-707-709","20210907","1"
"20210904_Ma_i_ns_707","20210907","1"
"20210904_f5i","20210908","1"
"20210904_f5i_165","20210908","1"
"20210904_f5i_171-176_cimiteri_no_lun","20210908","1"
"20210904_f5i_77-701-707-709_no_martedi","20210908","1"
"20210904_f5i_ns_230-431-566","20210908","1"
"20210904_f5i_ns_707_no_martedi","20210908","1"
"20210904_f5i_rinforzi_subaffido","20210908","1"
"20210904_f5i","20210909","1"
"20210904_f5i_165","20210909","1"
"20210904_f5i_171-176_cimiteri_no_lun","20210909","1"
"20210904_f5i_77-701-707-709_no_martedi","20210909","1"
"20210904_f5i_ns_230-431-566","20210909","1"
"20210904_f5i_ns_707_no_martedi","20210909","1"
"20210904_f5i_rinforzi_subaffido","20210909","1"
"20210904_f5i","20210910","1"
"20210904_f5i_165","20210910","1"
"20210904_f5i_171-176_cimiteri_no_lun","20210910","1"
"20210904_f5i_77-701-707-709_no_martedi","20210910","1"
"20210904_f5i_ns_230-431-566","20210910","1"
"20210904_f5i_ns_707_no_martedi","20210910","1"
"20210904_f5i_rinforzi_subaffido","20210910","1"
"20210904_sa_i","20210911","1"
"20210904_sa_i_130","20210911","1"
"20210904_sa_i_165","20210911","1"
"20210904_sa_i_171-175-176","20210911","1"
"20210904_sa_i_702-708-713","20210911","1"
"20210904_sa_i_707","20210911","1"
"20210904_sa_i_ns_566","20210911","1"
"20210904_sa_i_ns_707","20210911","1"
"20210904_sa_i_rinforzi_subaffido","20210911","1"
"20210904_sa_i_senza festivo","20210911","1"
"20210904_fes_i_171-172-174-176","20210912","1"
"20210904_fes_i_2g","20210912","1"
"20210904_fes_i_2g_702-713","20210912","1"
"20210904_fes_i_2g_subaff","20210912","1"
"20210904_fes_i_rinforzi_subaffido","20210912","1"
"20210904_f5i","20210913","1"
"20210904_f5i_165","20210913","1"
"20210904_f5i_77-701-707-709_no_martedi","20210913","1"
"20210904_f5i_rinforzi_subaffido","20210913","1"
"20210904_sc5","20210913","1"
"20210904_sc5_701-707_no martedi","20210913","1"
"20210904_sc5_sub_FR","20210913","1"
"20210904_f5i","20210914","1"
"20210904_f5i_165","20210914","1"
"20210904_f5i_171-176_cimiteri_no_lun","20210914","1"
"20210904_f5i_rinforzi_subaffido","20210914","1"
"20210904_Ma_i_566","20210914","1"
"20210904_Ma_i_77-701-707-709","20210914","1"
"20210904_Ma_i_sc_701-707-922","20210914","1"
"20210904_sc5","20210914","1"
"20210904_sc5_sub_FR","20210914","1"
"20210904_f5i","20210915","1"
"20210904_f5i_165","20210915","1"
"20210904_f5i_171-176_cimiteri_no_lun","20210915","1"
"20210904_f5i_77-701-707-709_no_martedi","20210915","1"
"20210904_f5i_rinforzi_subaffido","20210915","1"
"20210904_sc5","20210915","1"
"20210904_sc5_701-707_no martedi","20210915","1"
"20210904_sc5_sub_FR","20210915","1"
"20210904_f5i","20210916","1"
"20210904_f5i_165","20210916","1"
"20210904_f5i_171-176_cimiteri_no_lun","20210916","1"
"20210904_f5i_77-701-707-709_no_martedi","20210916","1"
"20210904_f5i_rinforzi_subaffido","20210916","1"
"20210904_sc5","20210916","1"
"20210904_sc5_701-707_no martedi","20210916","1"
"20210904_sc5_sub_FR","20210916","1"
"20210904_f5i","20210917","1"
"20210904_f5i_165","20210917","1"
"20210904_f5i_171-176_cimiteri_no_lun","20210917","1"
"20210904_f5i_77-701-707-709_no_martedi","20210917","1"
