"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","x_accessibilita_linea","x_ordinamento_linea"
"B165","AMAT_Milan_feed","165","comasina m3 - limbiate","","3","","","","1",""
"B171","AMAT_Milan_feed","171","interno cim. maggiore (campo 1 campo 92)                                        ","","3","","","","1",""
"B176","AMAT_Milan_feed","176","campo 12 - ingresso                                                             ","","3","","","","1",""
"B201","AMAT_Milan_feed","201","rozzano (milano) - rozzano (alberelle)","","3","","","","1",""
"B220","AMAT_Milan_feed","220","rozzano - pieve","","3","","","","1",""
"B222","AMAT_Milan_feed","222","pieve e. (staz fs) - milano (ripamonti)                                            ","","3","","","","1",""
"B230","AMAT_Milan_feed","230","basiglio - abbiategrasso m2","","3","","","","1",""
"B323","AMAT_Milan_feed","323","cesano boscone fs - milano (bisceglie m1)","","3","","","","1",""
"B328","AMAT_Milan_feed","328","assago m2 - rozzano ","","3","","","","1",""
"B35","AMAT_Milan_feed","35","molino dorino m1 - comasina m3","","3","","","","1",""
"B353","AMAT_Milan_feed","353","assago (via bazzana) - assago (via del sole)","","3","","","","1",""
"B423","AMAT_Milan_feed","423","settimo m.(della libertÃ ) - milano (san siro m5) ","","3","","","","1",""
"B424","AMAT_Milan_feed","424","bareggio (gallina) - molino dorino m1                                           ","","3","","","","1",""
"B431","AMAT_Milan_feed","431","bareggio - rho fs","","3","","","","1",""
"B433","AMAT_Milan_feed","433","cornaredo (artigianato) - bisceglie m1","","3","","","","1",""
"B48","AMAT_Milan_feed","48","palazzolo - lotto m1 - m5","","3","","","","1",""
"B528","AMAT_Milan_feed","528","cim. maggiore - molino dorino m1","","3","","","","1",""
"B542","AMAT_Milan_feed","542","casa di reclusione - rho fiera","","3","","","","1",""
"B560","AMAT_Milan_feed","560","arese (alfa romeo porta est)- milano (m1 qt8)","","3","","","","1",""
"B561","AMAT_Milan_feed","561","arese - rho fiera m1","","3","","","","1",""
"B566","AMAT_Milan_feed","566","milano - paderno dugnano","","3","","","","1",""
"B707","AMAT_Milan_feed","707","cologno nord m2 - cologno ( via giordano)","","3","","","","1",""
"B709","AMAT_Milan_feed","709","cologno sud m2 - cologno ( don minzoni )","","3","","","","1",""
"B712","AMAT_Milan_feed","712","sesto f.s. - cinisello ( musu )","","3","","","","1",""
"B965","AMAT_Milan_feed","965","pioltello - milano","","3","","","","1",""
"B99","AMAT_Milan_feed","99","noverasco - vigentino","","3","","","","1",""
"T1","AMAT_Milan_feed","1","greco - roserio","","0","","","","2",""
"T2","AMAT_Milan_feed","2","bausan - negrelli","","0","","","","2",""
"T3","AMAT_Milan_feed","3","cantu'/orefici - gratosoglio","","0","","","","2",""
"T4","AMAT_Milan_feed","4","parco nord - p.za castello","","0","","","","1",""
"T5","AMAT_Milan_feed","5","ortica - ospedale maggiore","","0","","","","2",""
"T7","AMAT_Milan_feed","7","lagosta - precotto","","0","","","","2",""
"T9","AMAT_Milan_feed","9","stz genova - stz centrale","","0","","","","1",""
"T10","AMAT_Milan_feed","10","24 maggio - lunigiana (lav. monumentale)","","0","","","","2",""
"T12","AMAT_Milan_feed","12","roserio - molise (lav. monumentale)","","0","","","","2",""
"T14","AMAT_Milan_feed","14","lorenteggio - cim. maggiore (lav. monumentale)","","0","","","","2",""
"T15","AMAT_Milan_feed","15","rozzano via g. rossa - dogana m1 m3","","0","","","","1",""
"T16","AMAT_Milan_feed","16","m.te velino - s.siro","","0","","","","2",""
"T19","AMAT_Milan_feed","19","lambrate - castelli","","0","","","","2",""
"T24","AMAT_Milan_feed","24","vigentino - fontana","","0","","","","2",""
"T27","AMAT_Milan_feed","27","fontana - ungheria","","0","","","","2",""
"T31","AMAT_Milan_feed","31","bicocca m5- cinisello b.","","0","","","","1",""
"T33","AMAT_Milan_feed","33","lagosta - rimembranze di lambrate","","0","","","","2",""
"T179","AMAT_Milan_feed","179","limbiate - comasina m3","","0","","","","2",""
"B34","AMAT_Milan_feed","34","q.re fatima - toffetti","","3","","","","1",""
"B38","AMAT_Milan_feed","38","corelli -  susa","","3","","","","1",""
"B39","AMAT_Milan_feed","39","loreto - pitteri","","3","","","","1",""
"B40","AMAT_Milan_feed","40","bonola - parco nord","","3","","","","1",""
"B41","AMAT_Milan_feed","41","niguarda - q.re bovisasca","","3","","","","1",""
"B42","AMAT_Milan_feed","42","q.re bicocca - stz centrale m2 m3","","3","","","","1",""
"B43","AMAT_Milan_feed","43","firenze - greco","","3","","","","1",""
"B44","AMAT_Milan_feed","44","turro - c.na gobba","","3","","","","1",""
"B45","AMAT_Milan_feed","45","stz lambrate m2 - san donato m3","","3","","","","1",""
"B46","AMAT_Milan_feed","46","famagosta m2 - cantalupa","","3","","","","1",""
"B47","AMAT_Milan_feed","47","bisceglie m1 - romolo m2","","3","","","","1",""
"B49","AMAT_Milan_feed","49","lotto m1 m5 - tirana","","3","","","","1",""
"B50","AMAT_Milan_feed","50","cairoli - lorenteggio","","3","","","","1",""
"B51","AMAT_Milan_feed","51","zara m3 m5 -  cimiano m2","","3","","","","1",""
"B52","AMAT_Milan_feed","52","bruzzano f.n. - bicocca (universita')","","3","","","","1",""
